Band_1	Band_2	Band_3	Band_4	Band_5	Band_6	Band_7
306	428	257	3013	1514	515	2386
325	462	345	2861	1486	567	2537
285	473	257	3185	1463	568	2436
315	478	340	3634	1664	621	2487
377	520	396	3382	1715	753	2487
357	455	321	2951	1388	568	2487
349	651	336	4576	1968	806	2537
396	642	524	3421	2336	1068	2637
306	428	277	3185	1539	568	2436
490	679	848	2836	2945	1544	3027
1038	1295	1756	2755	3551	2971	3123
597	1011	984	4649	2342	1070	2931
868	1052	1273	2497	3048	2312	3123
490	635	829	2777	2944	1597	3075
348	507	346	3001	1611	646	2587
333	609	416	4349	2043	833	2587
262	428	296	3155	1389	568	2436
312	454	338	3210	1463	594	2487
398	653	435	4490	2043	833	2487
306	494	355	3099	1288	515	2537
306	494	317	3013	1086	357	2537
306	494	316	3099	1413	488	2587
306	539	355	3270	1438	541	2537
1212	1685	1939	2966	3761	3378	3546
420	688	603	3475	2536	1225	2735
285	361	257	2955	1313	515	2436
305	516	316	3839	1665	621	2487
305	427	277	3527	1539	568	2487
268	385	220	3125	1313	463	2436
306	494	355	3185	1288	488	2587
327	463	346	2887	1486	567	2537
596	1011	945	4707	2292	1017	2979
1060	1448	1947	3013	3777	2946	3123
491	614	829	2805	2843	1517	3075
591	720	885	1947	2722	2049	3171
328	428	277	3270	1564	594	2436
267	385	240	3125	1287	488	2436
355	520	378	3552	1715	753	2537
419	675	455	4321	2069	859	2637
306	428	257	3356	1539	515	2436
262	473	257	3698	1615	621	2386
349	628	336	4660	2018	806	2537
377	698	474	4237	2094	859	2637
306	450	316	3070	1539	647	2487
327	494	296	3155	1364	488	2587
306	450	257	3185	1438	541	2436
365	504	402	3089	1713	752	2587
783	1075	1467	2438	3149	2576	3218
672	874	1137	2150	3300	2655	3171
285	494	317	3127	1111	463	2537
419	676	416	4236	2043	833	2587
425	657	790	2720	2819	1491	3027
368	462	306	2888	1511	594	2587
349	651	355	4717	2018	753	2537
327	427	296	2841	1338	541	2436
1642	2185	2687	3553	3974	3365	3313
364	482	382	3034	1663	647	2587
511	635	848	2864	2944	1491	3075
317	500	341	3350	1664	726	2537
284	449	277	3641	1514	568	2436
306	607	355	4519	1918	753	2537
538	706	754	1452	732	488	2587
326	539	316	3869	1615	594	2436
349	607	454	3783	2044	806	2587
539	860	734	4468	2263	1068	2686
1089	1448	1712	2852	3484	2878	3453
311	407	279	2982	1463	568	2436
1414	1905	2403	3553	3798	3022	3360
349	494	336	3556	1892	780	2587
1171	1577	1883	2966	3536	3062	3546
493	836	714	4502	2239	990	2686
311	496	377	3211	1589	727	2487
285	428	238	3327	1514	541	2436
285	405	257	3213	1389	488	2436
371	404	277	2352	1212	541	2436
306	539	317	3498	1539	568	2487
285	494	375	3070	1237	568	2537
333	476	357	3581	1665	700	2487
262	405	238	3270	1564	568	2436
447	635	770	2777	2919	1544	3075
396	665	505	3562	2311	989	2637
261	382	277	2265	1035	488	2487
285	428	217	3155	1389	515	2436
466	612	634	1250	681	384	2637
369	441	327	2888	1561	673	2587
357	478	340	3065	1563	673	2487
306	539	375	3840	1766	674	2487
911	1229	1736	2783	3601	2787	3123
349	562	394	3811	1867	727	2537
261	404	296	2294	1111	488	2487
440	688	545	3476	2361	1120	2735
326	472	296	3612	1514	568	2436
427	658	867	2863	2944	1649	3075
349	494	375	2984	1313	541	2537
296	457	263	3349	1437	515	2537
1355	1819	2270	3410	3624	2891	3313
484	644	564	3277	2435	1120	2785
438	687	524	3393	2462	1173	2686
296	457	283	3349	1387	568	2487
762	1075	1389	2467	3450	2708	3218
262	405	238	3013	1338	488	2386
889	1294	1505	3126	3374	2469	3075
460	688	506	3561	2210	1015	2686
953	1295	1813	2783	3224	2576	3123
297	480	303	3348	1387	541	2436
354	676	416	4321	2043	833	2487
618	989	1042	4706	2342	1070	2979
334	431	299	2838	1412	541	2436
305	472	296	3698	1615	594	2487
805	1097	1447	2755	3475	2682	3075
1562	2056	2594	3382	3749	3154	3313
370	493	277	3669	1640	621	2487
306	473	238	3528	1438	515	2436
370	539	316	4124	1716	621	2487
328	450	336	3155	1590	647	2487
305	472	277	3612	1590	621	2487
911	1207	1679	2611	3576	2971	3123
321	482	401	2920	1990	911	2587
1584	2056	2461	3353	3548	2891	3313
1036	1447	1735	3154	3449	2601	2979
463	667	584	3390	2535	1172	2833
651	829	1059	1976	3224	2708	3123
377	698	376	4406	1993	753	2587
428	636	732	2748	2793	1464	3027
349	607	433	3783	1968	833	2587
349	494	316	3127	1438	541	2537
284	472	316	3385	1615	647	2487
348	485	365	2859	1612	673	2587
285	428	277	3441	1539	594	2386
890	1274	1794	2783	3851	3024	3123
951	1273	1601	2982	3449	2813	3075
956	1275	1524	2923	4347	3442	3218
289	385	318	2925	1363	568	2436
447	635	867	2806	2894	1570	3075
346	417	306	3031	1511	567	2587
